[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,69527063,good
-8.984375,-38.28125,3,78049672,good
-8.984375,-38.28125,3,183947540,good
-8.984375,-38.28125,3,183631840,bad
-8.984375,-38.28125,3,215286484,good
-8.984375,-38.28125,3,49854953,bad
-8.984375,-38.28125,3,175022528,good
-8.984375,-38.28125,3,61890105,good
-8.984375,-38.28125,3,178827824,good
-8.984375,-38.28125,3,39502938,good
-8.984375,-38.28125,3,60441714,good
-8.984375,-38.28125,3,172055628,bad
-8.984375,-38.28125,3,197037960,bad
-8.984375,-38.28125,3,50297871,good
-8.984375,-38.28125,3,34953793,good
-8.984375,-38.28125,3,19012442,good
-8.984375,-38.28125,3,142623717,good
-8.984375,-38.28125,3,57420364,good
-8.984375,-38.28125,3,199901782,good
-8.984375,-38.28125,3,79096321,good
-8.984375,-38.28125,3,8046078,good
-8.984375,-38.28125,3,115851462,good
-8.984375,-38.28125,3,33902504,bad
-8.984375,-38.28125,3,183653020,good
-8.984375,-38.28125,3,163316706,good
-8.984375,-38.28125,3,3874164,bad
-8.984375,-38.28125,3,74044391,good
-8.984375,-38.28125,3,39382252,good
-8.984375,-38.28125,3,22803789,good
-8.984375,-38.28125,3,213167243,bad
-8.984375,-38.28125,3,217362821,good
-8.984375,-38.28125,3,216371550,good
-8.984375,-38.28125,3,70450977,good
-8.984375,-38.28125,3,221825756,good
-8.984375,-38.28125,3,121082079,good
-8.984375,-38.28125,3,199917347,good
-8.984375,-38.28125,3,117243251,good
-8.984375,-38.28125,3,37448664,good
-8.984375,-38.28125,3,213076159,good
-8.984375,-38.28125,3,68909523,good
-8.984375,-38.28125,3,95492463,good
-8.984375,-38.28125,3,62821371,good
-8.984375,-38.28125,3,130670484,bad
-8.984375,-38.28125,3,202669802,bad
-8.984375,-38.28125,3,147559690,good
-8.984375,-38.28125,3,151434800,bad
-8.984375,-38.28125,3,115313871,good
-8.984375,-38.28125,3,180047265,good
-8.984375,-38.28125,3,97764896,good
-8.984375,-38.28125,3,115379537,good
-8.984375,-38.28125,3,171434866,good
-8.984375,-38.28125,3,84224675,bad
-8.984375,-38.28125,3,175892890,good
-8.984375,-38.28125,3,31503598,good
-8.984375,-38.28125,3,92873092,good
-8.984375,-38.28125,3,220021414,good
-8.984375,-38.28125,3,159631899,good
-8.984375,-38.28125,3,214280920,good
-8.984375,-38.28125,3,170130296,bad
-8.984375,-38.28125,3,70568946,good
-8.984375,-38.28125,3,185468137,bad
-8.984375,-38.28125,3,120360409,bad
-8.984375,-38.28125,3,148774004,good
-8.984375,-38.28125,3,164064757,bad
-8.984375,-38.28125,3,200900178,good
-8.984375,-38.28125,3,36199530,good
-8.984375,-38.28125,3,118213518,good
-8.984375,-38.28125,3,181682904,good
-8.984375,-38.28125,3,195675768,bad
-8.984375,-38.28125,3,119024269,good
-8.984375,-38.28125,3,143874946,good
-8.984375,-38.28125,3,47414760,good
-8.984375,-38.28125,3,78734158,bad
-8.984375,-38.28125,3,54392173,good
-8.984375,-38.28125,3,48160530,good
-8.984375,-38.28125,3,140309414,good
-8.984375,-38.28125,3,95629721,bad
-8.984375,-38.28125,3,67997857,good
-8.984375,-38.28125,3,99619784,good
-8.984375,-38.28125,3,123335092,good
-8.984375,-38.28125,3,70266277,good
-8.984375,-38.28125,3,162537340,bad
-8.984375,-38.28125,3,75198615,good
-8.984375,-38.28125,3,106235308,bad
-8.984375,-38.28125,3,35106246,good
-8.984375,-38.28125,3,154941619,good
-8.984375,-38.28125,3,131763458,good
-8.984375,-38.28125,3,147646609,good
-8.984375,-38.28125,3,63202321,bad
-8.984375,-38.28125,3,151761736,bad
-8.984375,-38.28125,3,63264418,good
-8.984375,-38.28125,3,52202360,good
-8.984375,-38.28125,3,188319925,bad
-8.984375,-38.28125,3,98365465,good
-8.984375,-38.28125,3,35192257,good
-8.984375,-38.28125,3,19669817,good
-8.984375,-38.28125,3,115529476,good
-8.984375,-38.28125,3,174813697,bad
-8.984375,-38.28125,3,168868972,good
-8.984375,-38.28125,3,124461011,good
-8.984375,-38.28125,3,104606280,good
-8.984375,-38.28125,3,585462,bad
-8.984375,-38.28125,3,192973415,bad
